,Intuition-building,Clearly Articulated,Credible,Scoped,Impact,Strictness,Actionable,Discoverable,Relationships,Updateable,Permanence
VIS-6 : VIS-GL-15,4,5,5,5,4,4,3,4,5,2,4
VIS-5 : VIS-GL-14,5.0,5.0,5.0,5.0,3.0,4.5,5.0,5.0,4.5,2.5,4.5
CS-3 : VG-GL-3,3.5,3.0,4.5,4.5,2.0,3.0,4.5,3.0,4.0,3.0,3.5
VIS-2 : VIS-GL-5,3.5,3.5,5.0,3.0,3.5,3.5,3.0,4.5,4.0,5.0,4.0
CS-6 : VG-GL-7,3.0,5.0,3.5,4.5,3.0,4.5,5.0,3.5,4.0,2.5,2.5
VIS-6: VIS-GL-15,5,4,5,5,5,5,4,5,4,4,5
CS-4 : VG-GL-5,3.5,2.5,4.5,3.5,3.0,1.5,4.5,4.5,4.0,3.5,3.5
VIS-1 : VIS-GL-3,4.0,3.0,5.0,4.0,2.0,4.5,5.0,4.5,3.5,4.0,3.0
BK-2 : BK-GL-17,5,5,5,2,5,1,5,5,4,2,1
BK-1 : BK-GL-2,5.0,5.0,5.0,4.0,1.5,4.0,5.0,5.0,4.5,5.0,1.5
BK-1 : BK-GL-1,5.0,5.0,5.0,4.5,3.0,4.5,5.0,5.0,4.5,5.0,1.0
VIS-2 : VIS-GL-6,4.5,4.5,5.0,3.5,3.0,3.5,4.5,4.5,4.0,4.5,4.0
WB-12 : WB-GL-15,4,4,4,4,2,4,3,3,2,4,4
BK-2 : BK-GL-15,1,2,4,2,4,2,5,5,4,1,1
BK-1 : BK-GL-3,5.0,5.0,5.0,5.0,3.5,4.5,5.0,5.0,4.5,5.0,1.0
BK-3 : BK-GL-30,4,5,5,5,4,5,5,5,4,2,1
VIS-4 : VIS-GL-11,4.5,5.0,5.0,4.5,3.0,3.0,4.5,5.0,4.5,4.5,3.5
WB-2 : WB-GL-2,5,3,3,2,4,2,3,2,1,4,4
CS-1 : VG-GL-1,3.0,4.5,4.5,4.5,4.0,3.0,3.0,4.5,4.0,5.0,3.5
WB-4 : WB-GL-4,5,5,4,5,5,5,5,5,5,4,3
BK-3 : BK-GL-22,5,4,4,5,4,2,2,2,4,5,1
CS-4 : VG-GL-4,5,4,4,4,5,4,5,5,4,5,3
VIS-8 : VIS-GL-21,5.0,5.0,5.0,4.0,3.5,3.0,4.5,5.0,4.0,4.0,4.5
CS-10 : VG-GL-11,4.5,5.0,4.5,4.0,4.0,3.0,5.0,5.0,4.5,4.0,4.0
