,Document ID : Guideline ID,BK-1 : BK-GL-1,BK-1 : BK-GL-2,BK-1 : BK-GL-3,BK-1 : BK-GL-4,BK-1 : BK-GL-5,BK-1 : BK-GL-6,BK-1 : BK-GL-7,BK-1 : BK-GL-8,BK-1 : BK-GL-9,BK-1 : BK-GL-10,VIS-1 : VIS-GL-1,VIS-1 : VIS-GL-2,VIS-1 : VIS-GL-3,CS-1 : VG-GL-1,CS-2 : VG-GL-2,CS-3 : VG-GL-3,CS-4 : VG-GL-4,CS-4 : VG-GL-5,CS-5 : VG-GL-6,CS-6 : VG-GL-7,CS-7 : VG-GL-8,CS-8 : VG-GL-9,CS-9 : VG-GL-10,CS-10 : VG-GL-11,CS-10 : VG-GL-12,CS-12 : RED-GL-1,CS-13 : RED-GL-2,CS-14 : RED-GL-3,CS-15 : RED-GL-4,VIS-5 : VIS-GL-13,VIS-5 : VIS-GL-14,VIS-6 : VIS-GL-15,VIS-6 : VIS-GL-16,VIS-7 : VIS-GL-17,VIS-7 : VIS-GL-18,VIS-7 : VIS-GL-19,VIS-8 : VIS-GL-20,VIS-8 : VIS-GL-21,VIS-8 : VIS-GL-22,VIS-9 : VIS-GL-23,VIS-10 : VIS-GL-24,VIS-11 : VIS-GL-25,VIS-12 : VIS-GL-26,VIS-12 : VIS-GL-27
0,Goal of articulation,Comprehensive guidance text,Comprehensive guidance text,Comprehensive guidance text,Comprehensive guidance text,Comprehensive guidance text,Comprehensive guidance text,Comprehensive guidance text,Comprehensive guidance text,Comprehensive guidance text,Comprehensive guidance text,Advice arising from research findings,Advice arising from research findings,Advice arising from research findings,Discussion or opinion based,Discussion or opinion based,Discussion or opinion based,Discussion or opinion based,Rephrase for new audience,Discussion or opinion based,Discussion or opinion based,Rephrase for new audience,Discussion or opinion based,Discussion or opinion based,Rephrase for new audience,Discussion or opinion based,Discussion or opinion based,Discussion or opinion based,Discussion or opinion based,Discussion or opinion based,Advice arising from research findings,Advice arising from research findings,Advice arising from research findings,Advice arising from research findings,Advice arising from research findings,Advice arising from research findings,Advice arising from research findings,Advice arising from research findings,Advice arising from research findings,Advice arising from research findings,Advice arising from research findings,Advice arising from research findings,Advice arising from research findings,Advice arising from research findings,Advice arising from research findings
1,Intuition-building,5,5,5,5,5,5,5,4,5,5,5,3,5,4,5,5,5,5,2,4,5,5,4,5,5,1,4,1,4,5,5,4,4,5,5,5,5,5,5,5,5,3,5,5
2,Clearly Articulated,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,4,4,3,4,5,4,4,3,5,5,4,4,2,4,5,5,5,5,5,5,4,5,5,4,4,5,5,4,4
3,Credible,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,2,3,4,4,4,4,4,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
4,Scoped,4,3,5,4,5,3,4,2,4,5,5,5,3,4,2,4,4,2,2,4,5,4,3,4,4,1,2,3,3,4,5,5,4,4,5,5,4,4,5,4,3,4,5,4
5,Trade-Offs,2,1,4,4,3,4,1,1,3,1,5,3,2,4,1,3,5,2,1,2,4,3,5,4,4,1,1,1,2,5,2,4,4,3,2,5,5,3,5,2,2,1,3,3
6,Strictness,4,4,4,4,4,3,3,2,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,1,1,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
7,Actionable,5,5,5,4,5,5,5,5,5,5,5,5,5,2,4,5,5,5,5,5,5,2,2,5,5,5,2,4,5,5,5,3,4,5,5,5,4,4,4,5,5,4,3,3
8,Discoverable,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,5,4,4,4,5,5,5,5,5,5,5,5,4,4,3,3,3,5,5,5,5,4,5,4,4
9,Relationships,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,4,4,4,4,4,3,3,4,4,4,2,1,2,1,5,5,5,5,4,5,5,4,4,4,4,5,5,5,5
10,Updateable,2,1,1,3,1,1,1,1,1,1,3,4,3,4,5,5,4,4,5,3,2,3,3,4,4,2,2,2,2,4,4,2,2,3,3,3,3,3,3,2,2,4,4,4
11,Permanence,1,2,1,1,1,1,1,1,1,1,2,4,1,2,1,3,3,3,2,4,4,4,3,3,3,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5
12,EX: Intuition-building,Example,Counter-example,Counter-example,Example,Counter-example,Counter-example,Counter-example,Consequences/Benefits statement,Counter-example,Other,Example,,,,Example,Citation,,,,,,Example,,,,,,,,,,,,,,,Quote,Quote,Quote,,,,Consequences/Benefits statement,
13,EX: Clearly Articulated,Slogan,Slogan,Slogan,Slogan,Slogan,Slogan,Slogan,Slogan,Slogan,Slogan,Slogan,Slogan,Slogan,,,,,,,Slogan,,,,,,,,,,Slogan,Slogan,,,,,,,,,,,Slogan,,
14,EX: Credible,,,,,,,,,,,,,,Citation,,Citation,Citation,Citation,,,Citation,Quote,Citation,Citation,,,,,,,,,,,,,,,,,,Citation,,
15,EX: Scoped,,Generic Text,Generic Text,,Generic Text,Generic Text,,,Generic Text,,,,,,,,Generic Text,,,,,Example,,,,,,,,,,,,,,,,,,,,,,
16,EX: Impact,Example or negative example,,,Generic Text,,Consequences/Benefits statement,,,Consequences/Benefits statement,,Paper Section,,,Consequences/Benefits statement,,,Consequences/Benefits statement,,,,,,Consequences/Benefits statement,,,,,,,Consequences/Benefits statement,,,,,,,Consequences/Benefits statement,,Consequences/Benefits statement,,,,,
17,EX: Strictness,,Generic Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
